time,S1-D1,S1-D8,S1-D9,S1-D23,S2-D1,S2-D2,S2-D3,S2-D9,S2-D15,S3-D1,S3-D2,S3-D24,S4-D2,S4-D3,S4-D5,S4-D16,S5-D3,S5-D4,S5-D5,S5-D17,S6-D2,S6-D5,S6-D25,S7-D6,S7-D7,S7-D18,S8-D6,S8-D7,S8-D26,S9-D3,S9-D4,S9-D9,S9-D11,S9-D27,S10-D8,S10-D9,S10-D10,S10-D11,S10-D19,S11-D8,S11-D10,S11-D28,S12-D10,S12-D11,S12-D12,S12-D20,S13-D4,S13-D11,S13-D12,S13-D21,S14-D10,S14-D12,S14-D29,S15-D13,S15-D14,S15-D22,S16-D13,S16-D14,S16-D30,SART_Target,SART_NonTarget,SART_Probe,t_rel_s,eye_n,xp,yp,ps,xpl_i,xpr_i,ypl_i,ypr_i,psl_i,psr_i,blink_prop
1907.712,4.73149869007042e-07,-2.12356487175173e-07,2.60793381832611e-07,1.23683525845345e-06,-2.16910685750058e-07,-2.16910685749784e-07,,-3.25143800165244e-07,,-2.90574103033395e-07,2.23564682281563e-07,-2.90574103032689e-07,1.46486473302577e-07,-1.02994320775272e-07,,,,-4.77810956409435e-08,,,6.64411666831346e-07,1.69490989176189e-07,,-6.88205401904829e-09,1.09673743489396e-05,,-1.91350376607832e-05,4.50984483492593e-08,-4.5098448349026e-08,1.05259146746736e-06,3.34428612019415e-08,,9.26133574841859e-08,1.04111975863319e-07,8.28352830382601e-08,1.86947258901553e-07,1.94934435926429e-07,,,-1.9088424084759e-08,-1.26715780411753e-07,-1.45804204496345e-07,8.32140424784551e-07,-1.42648625275803e-06,,,1.27820833760401e-05,3.5736269073132e-05,,,1.83095988185414e-06,-3.16293909779162e-07,,-3.00529936690174e-08,-1.56436436590451e-06,,4.33722752127404e-07,-4.34456497599321e-05,1.95739630196073e-05,0,1,0,0,103,1196.16019417476,571.221844660194,2281.65048543689,1181.58932038835,1210.73106796117,557.431067961165,585.012621359223,2100.79611650485,2462.50485436893,0
1907.8144,4.77859844135802e-07,-2.09825589285543e-07,2.68034254851018e-07,1.224864436517e-06,-2.13145660619246e-07,-2.13145660619028e-07,,-3.28536057972435e-07,,-3.17988469665972e-07,2.34331113921186e-07,-3.179884696653e-07,1.37469872807028e-07,-9.32026889688196e-08,,,,-1.03782718495099e-08,,,8.22994214270471e-07,2.05648444656105e-07,,2.76593728677387e-08,1.12681017039886e-05,,-1.92633417319284e-05,4.06637505718674e-08,-4.06637505717065e-08,1.09964706463404e-06,5.65483584798925e-08,,1.13493757984071e-07,1.10415300464953e-07,1.03228868129731e-07,2.13644168594541e-07,2.19287132520434e-07,,,-5.82040771000101e-08,-1.18064919129939e-07,-1.76268996229809e-07,7.54846769212155e-07,-1.38436746853695e-06,,,1.3153582157445e-05,3.66675674522892e-05,,,1.87234154100697e-06,-3.33057766687865e-07,,-3.21937115057131e-08,-1.27300455005421e-06,,4.68337864862971e-07,-4.451851864521e-05,2.05039066185917e-05,0,1,0,0.102399999999989,102,1363.49754901961,574.331862745098,2233.39215686275,1353.10098039216,1373.89411764706,554.986274509804,593.677450980392,2110.09803921569,2356.6862745098,0
1907.9168,4.86289147798724e-07,-2.09084651410279e-07,2.77204496389218e-07,1.21447502927463e-06,-2.11804179852282e-07,-2.11804179852114e-07,,-3.29486022365368e-07,,-3.48977248161485e-07,2.43013551927452e-07,-3.48977248160846e-07,1.31185694224223e-07,-8.55212309364817e-08,,,,2.22822512552749e-08,,,9.65851273613311e-07,2.36479352199366e-07,,6.0134091522267e-08,1.14825571025485e-05,,-1.93343833042562e-05,3.82261712081624e-08,-3.82261712080678e-08,1.1426190322526e-06,7.54907003696926e-08,,1.28482935345815e-07,1.07912059973219e-07,1.21569081237503e-07,2.29481141210469e-07,2.42529980464198e-07,,,-8.83619098066767e-08,-1.12888989837203e-07,-2.01250899643765e-07,7.31896727855749e-07,-1.38252123528471e-06,,,1.349565491299e-05,3.7354478191349e-05,,,1.88914850596881e-06,-3.46289115019235e-07,,-3.28973150126452e-08,-9.91617157809882e-07,,4.98653316154582e-07,-4.54068453926758e-05,2.13321732876986e-05,0,1,0,0.204799999999977,103,1026.78252427184,1118.28009708738,1359.79611650485,812.253398058253,1241.31165048544,1099.23106796117,1137.32912621359,1174.31067961165,1545.28155339806,0
1908.0192,4.97726828647358e-07,-2.09780934767658e-07,2.87945893880484e-07,1.20375722960383e-06,-2.12772244077993e-07,-2.12772244077868e-07,,-3.27565225568787e-07,,-3.83400670232351e-07,2.48371898642486e-07,-3.83400670231741e-07,1.27926572065591e-07,-8.01478229084906e-08,,,,5.02635705098489e-08,,,1.09169701427673e-06,2.6310366166735e-07,,9.02684579392879e-08,1.15974249912731e-05,,-1.93014194136127e-05,3.78259994123406e-08,-3.78259994123023e-08,1.17653172155878e-06,8.90802980709831e-08,,1.36486241861566e-07,9.46236534943677e-08,1.37518809809149e-07,2.32142463303162e-07,2.62232549977831e-07,,,-1.08934946422564e-07,-1.11729005302293e-07,-2.20663951724765e-07,7.58482658091397e-07,-1.42203108627985e-06,,,1.37917052234159e-05,3.76838964990327e-05,,,1.87795090685287e-06,-3.55032406443281e-07,,-3.20879130163529e-08,-7.22832244361031e-07,,5.23444245936306e-07,-4.59820460232962e-05,2.198706819705e-05,0,0,0,0.307199999999966,102,948.790196078431,890.292647058824,1681.05392156863,919.933333333333,977.647058823529,901.106862745098,879.478431372549,1474.42156862745,1887.6862745098,0
1908.1216,5.11034494813431e-07,-2.11415203306575e-07,2.99619291507642e-07,1.19060168755417e-06,-2.15699917294191e-07,-2.15699917294097e-07,,-3.2263352404414e-07,,-4.20646590423043e-07,2.49532239577707e-07,-4.20646590422459e-07,1.27611100171881e-07,-7.69580013619181e-08,,,,7.39237092233593e-08,,,1.19994211777008e-06,2.86983610890323e-07,,1.17830322299275e-07,1.16001559357824e-05,,-1.9122755376527e-05,3.92560244041587e-08,-3.92560244041649e-08,1.1969298467787e-06,9.65896010452808e-08,,1.37076727655068e-07,6.94842517681145e-08,1.51470553413333e-07,2.20954805181007e-07,2.75852327961757e-07,,,-1.20420584002827e-07,-1.14626306370772e-07,-2.35046890373528e-07,8.24203736051588e-07,-1.49881409521889e-06,,,1.40314240800746e-05,3.75614798019137e-05,,,1.83873585380123e-06,-3.58703762737623e-07,,-2.98620192885109e-08,-4.68938799215942e-07,,5.42005387910597e-07,-4.61300288298229e-05,2.24040085807363e-05,0,0,0,0.409599999999955,102,971.462745098039,554.957352941177,2187.42647058824,980.669607843137,962.255882352941,520.403921568627,589.510784313726,1976.93137254902,2397.92156862745,0
1908.224,5.24700884826833e-07,-2.1338205470148e-07,3.11318830126136e-07,1.17280788129305e-06,-2.20016132397376e-07,-2.20016132397302e-07,,-3.1485587192656e-07,,-4.59618745516524e-07,2.46057902723153e-07,-4.59618745515957e-07,1.29765580201485e-07,-7.55013481482536e-08,,,,9.38445300804802e-08,,,1.29052470254293e-06,3.09640683571404e-07,,1.42621954847323e-07,1.14817558428224e-05,,-1.87665179441467e-05,4.20612832705932e-08,-4.2061283270629e-08,1.20017128315456e-06,9.77647215228781e-08,,1.30531617537886e-07,3.24903659310038e-08,1.64550796256605e-07,1.97041162187104e-07,2.80878205912484e-07,,,-1.24405688220163e-07,-1.21046608281539e-07,-2.45452296501647e-07,9.13318588736478e-07,-1.60288508805782e-06,,,1.42110934845997e-05,3.69207348233582e-05,,,1.77463802557179e-06,-3.57078896013767e-07,,-2.648019272263e-08,-2.31950966058305e-07,,5.54225019287195e-07,-4.57624416405665e-05,2.25303397615667e-05,0,0,0,0.511999999999944,103,991.755339805825,552.826213592233,2275.28155339806,1002.09126213592,981.419417475728,523.847572815534,581.804854368932,2067.21359223301,2483.34951456311,0
1908.3264,5.36956489115435e-07,-2.15015235259129e-07,3.21941253857081e-07,1.14824568896642e-06,-2.2496405141188e-07,-2.24964051411813e-07,,-3.04680964329412e-07,,-4.98781353269662e-07,2.37948574703338e-07,-4.98781353269106e-07,1.33570218716237e-07,-7.50461160763916e-08,,,,1.107440211963e-07,,,1.3638175762436e-06,3.32381039070129e-07,,1.64498979261208e-07,1.12396834317086e-05,,-1.82152174159323e-05,4.55724710942322e-08,-4.55724710942818e-08,1.18362015812281e-06,9.27869202561876e-08,,1.17759085375516e-07,-1.53304420537809e-08,1.78445088303206e-07,1.63114646248881e-07,2.75094434541551e-07,,,-1.23330715345436e-07,-1.29887855340866e-07,-2.53218570686258e-07,1.0059809111052e-06,-1.71861288600409e-06,,,1.43333525784968e-05,3.57305490354613e-05,,,1.69123790190619e-06,-3.50239797773557e-07,,-2.2325197006282e-08,-1.3637978451385e-08,,5.60564782538934e-07,-4.4827370309432e-05,2.23303276856746e-05,0,0,0,0.614399999999932,102,991.560294117647,556.025,2333.42647058824,1002.26078431373,980.859803921569,530.960784313726,581.089215686275,2122.50980392157,2544.3431372549,0
1908.4288,5.45984469457096e-07,-2.15647880048879e-07,3.30336589408979e-07,1.11510265442642e-06,-2.29668391231658e-07,-2.29668391231586e-07,,-2.92795391795213e-07,,-5.36256105368431e-07,2.25576943357808e-07,-5.36256105367874e-07,1.37986105927984e-07,-7.46768253511896e-08,,,,1.25379026385542e-07,,,1.42061393971728e-06,3.56083957389771e-07,,1.8340574137546e-07,1.08800521858587e-05,,-1.74694535947698e-05,4.89737495473754e-08,-4.89737495474222e-08,1.14579127052005e-06,8.2193996185186e-08,,1.00133380262347e-07,-7.2129298827233e-08,1.95102553241317e-07,1.22973254413526e-07,2.56931690209858e-07,,,-1.20062725992849e-07,-1.39589345599685e-07,-2.59652071592496e-07,1.0806112028338e-06,-1.82633708223166e-06,,,1.44063363944745e-05,3.40001622394328e-05,,,1.59557511250811e-06,-3.38502191595819e-07,,-1.7804910087355e-08,1.84451562513708e-07,,5.61956988993384e-07,-4.3318123597091e-05,2.1789691329425e-05,0,0,0,0.716799999999921,103,991.108252427184,559.31213592233,2378.79126213592,1001.53398058252,980.682524271845,532.601941747573,586.022330097087,2172.20388349515,2585.3786407767,0
1908.5312,5.50221132288777e-07,-2.14690602100395e-07,3.35530530189125e-07,1.07218224038244e-06,-2.33238642077332e-07,-2.33238642077244e-07,,-2.80060574113685e-07,,-5.69972022394371e-07,2.09592627803678e-07,-5.69972022393804e-07,1.41943709799505e-07,-7.34392468207374e-08,,,,1.3842803866327e-07,,,1.46207062053599e-06,3.81078085409289e-07,,1.99390873383784e-07,1.04187151251268e-05,,-1.65498329141151e-05,5.13983240248739e-08,-5.13983240249004e-08,1.08648827672974e-06,6.67723683758095e-08,,7.92731118107562e-08,-1.35540440708272e-07,2.16402154019971e-07,8.08617133111519e-08,2.25792415612761e-07,,,-1.17367463489635e-07,-1.48339998023489e-07,-2.65707461513085e-07,1.11705999971648e-06,-1.90528632221912e-06,,,1.44419525601857e-05,3.1780652725412e-05,,,1.49500547747973e-06,-3.22341878087796e-07,,-1.32015690060948e-08,3.60924078599872e-07,,5.59660087394285e-07,-4.12783358140448e-05,2.09188109067809e-05,0,0,0,0.81919999999991,102,987.539705882353,558.198039215686,2419.35294117647,996.73137254902,978.348039215686,529.417647058824,586.978431372549,2211.58823529412,2627.11764705882,0
1908.6336,5.48657922905058e-07,-2.11712649097966e-07,3.36945273807815e-07,1.01918315002478e-06,-2.34889211463045e-07,-2.34889211462933e-07,,-2.67422169813466e-07,,-5.97868744964881e-07,1.90831775206756e-07,-5.97868744964293e-07,1.4453340929838e-07,-7.05007087028529e-08,,,,1.50372791880254e-07,,,1.48953023453537e-06,4.07100772264973e-07,,2.12578341683892e-07,9.88087615712919e-06,,-1.54961294286971e-05,5.2037142518401e-08,-5.20371425183909e-08,1.00694734701648e-06,4.74487591493774e-08,,5.68221619049576e-08,-2.02957611128128e-07,2.43847381838236e-07,4.08897707095968e-08,1.82219387905116e-07,,,-1.17447472247172e-07,-1.54346321441296e-07,-2.71793793688426e-07,1.09970993642283e-06,-1.93709471399904e-06,,,1.44532427406633e-05,2.91623137769945e-05,,,1.39602770814081e-06,-3.02343741236403e-07,,-8.53560454306277e-09,5.14516964075148e-07,,5.55096681473673e-07,-3.88013498618173e-05,1.9753806194968e-05,0,0,0,0.921599999999899,103,983.484951456311,559.112621359223,2450.90291262136,990.432038834951,976.53786407767,531.712621359223,586.512621359223,2246.64077669903,2655.16504854369,0
