time,S1-D1,S1-D8,S1-D9,S1-D15,S2-D1,S2-D2,S2-D3,S2-D9,S3-D1,S3-D2,S3-D16,S4-D2,S4-D3,S4-D5,S5-D3,S5-D4,S5-D5,S6-D2,S6-D5,S6-D17,S7-D6,S7-D7,S8-D6,S8-D7,S8-D18,S9-D3,S9-D4,S9-D9,S9-D11,S9-D19,S10-D8,S10-D9,S10-D10,S10-D11,S11-D8,S11-D10,S11-D20,S12-D10,S12-D11,S12-D12,S13-D4,S13-D11,S13-D12,S14-D10,S14-D12,S14-D21,S15-D13,S15-D14,S16-D13,S16-D14,S16-D22,SART_Target,SART_NonTarget,SART_Probe,t_rel_s,eye_n,xp,yp,ps,xpl_i,xpr_i,ypl_i,ypr_i,psl_i,psr_i,blink_prop
1743.36,7.4830961497572e-08,5.51881130837742e-07,6.26712092335649e-07,-3.03324162590711e-07,1.61782230936072e-07,1.6178223093558e-07,,2.16761991347257e-07,9.80448321261124e-07,8.87991875819514e-08,,-9.94268614673335e-08,3.66289504794607e-07,1.97149151480694e-07,,1.8546067666154e-07,1.08734854494184e-07,2.94195531155839e-07,1.52953477573479e-07,-6.5551379634534e-08,1.52953477573161e-07,-7.03056350941455e-05,1.06086605073616e-05,-5.96969745867588e-05,,2.82776108744335e-07,,4.26929244351363e-08,-4.26929244351508e-08,-8.08543689358197e-07,3.52421048576793e-07,1.0928519944286e-07,4.61706248019604e-07,,1.68990430601789e-07,1.21800213193653e-07,,2.64571610322992e-07,-1.59871763409798e-07,5.48335865311507e-07,-7.61294957988753e-08,,,-1.13109509781091e-07,3.00380114499553e-07,-4.77463127689703e-07,-2.19139264185418e-08,-2.19139264187865e-08,6.94441371521839e-07,-6.94441371522941e-07,-1.75603055751496e-06,1,0,0,0,103,968.41359223301,557.719417475728,2988.45631067961,958.684466019418,978.142718446602,556.744660194175,558.694174757282,3243.76699029126,2733.14563106796,0
1743.4624,8.35105459830996e-08,5.51591952828304e-07,6.35102498811745e-07,-2.96664183379219e-07,1.5798700314104e-07,1.57987003140544e-07,,2.22545470799296e-07,9.67118785087744e-07,1.11557204306211e-07,,-8.66141099248655e-08,3.62987842628646e-07,1.9769071229599e-07,,2.04874276396562e-07,1.10744664126699e-07,3.15618940523384e-07,1.67131510260608e-07,-5.56224646743758e-08,1.67131510260288e-07,-7.18189324956868e-05,1.21561333207626e-05,-5.96627991748973e-05,,2.69852651843898e-07,,1.36577849875048e-07,-1.36577849875069e-07,-7.92220471289497e-07,3.52422765535398e-07,1.09704694803661e-07,4.62127460339005e-07,,1.56848379037988e-07,1.22102155539176e-07,,2.89384292650351e-07,-1.76414415316256e-07,5.60982553198789e-07,-7.40481629849085e-08,,,-1.13530650107822e-07,3.20936847371155e-07,-5.08523800232446e-07,-1.39363528809215e-08,-1.39363528811662e-08,6.78277817711281e-07,-6.78277817712394e-07,-1.70109939857618e-06,1,0,0,0.102399999999989,102,967.39362745098,571.964705882353,3003.89705882353,961.392156862745,973.395098039216,579.695098039216,564.23431372549,3258.53921568627,2749.25490196079,0
1743.5648,9.11395459813984e-08,5.49883625334864e-07,6.4102317131661e-07,-2.89866675961098e-07,1.53212164230977e-07,1.53212164230477e-07,,2.22942485250293e-07,9.30959405852973e-07,1.3411924819832e-07,,-7.49068285703473e-08,3.57694343294218e-07,1.99133408135085e-07,,2.22755119166845e-07,1.11304330887379e-07,3.34059450054356e-07,1.81239625262262e-07,-4.58624206135739e-08,1.81239625261939e-07,-7.30578200812542e-05,1.37891499796443e-05,-5.92686701015812e-05,,2.55526859824182e-07,,2.22900477383258e-07,-2.22900477383287e-07,-7.70909882850629e-07,3.52721947191963e-07,1.08394235447385e-07,4.6111618263929e-07,,1.43335591850072e-07,1.22360344652147e-07,,3.11172208895885e-07,-1.9449196486682e-07,5.72457845751274e-07,-7.2100185287495e-08,,,-1.1466341834521e-07,3.38390462603239e-07,-5.43509744849263e-07,-6.83327174443716e-09,-6.83327174468148e-09,6.69153315818452e-07,-6.69153315819582e-07,-1.64323386346412e-06,1,0,0,0.204800000000205,103,964.880097087379,548.508737864078,2981.18446601942,960.884466019417,968.87572815534,551.42427184466,545.593203883495,3233.21359223301,2729.15533980583,0
1743.6672,9.7703434562077e-08,5.46672262887429e-07,6.44375697449857e-07,-2.84150163626691e-07,1.47597521453313e-07,1.47597521452809e-07,,2.19477522082089e-07,8.77511229092881e-07,1.56276940974041e-07,,-6.42975642648814e-08,3.5166782552601e-07,2.00612601393762e-07,,2.38679718357396e-07,1.10196904033295e-07,3.48876622390831e-07,1.95230906649624e-07,-3.66816524883e-08,1.95230906649297e-07,-7.3960022720539e-05,1.54868032950776e-05,-5.84732194254309e-05,,2.40121416475138e-07,,3.00654563500035e-07,-3.00654563500072e-07,-7.44751151874303e-07,3.53123275074084e-07,1.05560771264527e-07,4.58684046338547e-07,,1.28802141975358e-07,1.22281280655325e-07,,3.28560890286669e-07,-2.12432870886748e-07,5.81940760869191e-07,-7.0241636984946e-08,,,-1.16279039527859e-07,3.52336555713077e-07,-5.81715897656268e-07,-2.50618621249311e-10,-2.50618621493522e-10,6.66487783702467e-07,-6.66487783703617e-07,-1.5834371792478e-06,0,0,0,0.307200000000194,102,964.847058823529,541.14362745098,2991.54411764706,963.154901960784,966.539215686275,547.220588235294,535.066666666667,3248.51960784314,2734.56862745098,0
1743.7696,1.02849712454142e-07,5.41914200762182e-07,6.4476391321668e-07,-2.80690233705527e-07,1.41354906863117e-07,1.41354906862611e-07,,2.13579462863032e-07,8.1224116188286e-07,1.77755788840108e-07,,-5.48349166620436e-08,3.46120437279619e-07,2.01332058990775e-07,,2.52254784156673e-07,1.07311153984354e-07,3.59565938141175e-07,2.08937281090557e-07,-2.84702957589191e-08,2.08937281090227e-07,-7.45098157930843e-05,1.72235536262804e-05,-5.72862621667717e-05,,2.23903120369678e-07,,3.69453636223214e-07,-3.69453636223261e-07,-7.14637360400479e-07,3.53547048262981e-07,1.01437725530564e-07,4.54984773793477e-07,,1.13656560013768e-07,1.21581408628303e-07,,3.40605201748268e-07,-2.28916617199077e-07,5.88666667568726e-07,-6.83888344385656e-08,,,-1.18161281262393e-07,3.62497164450089e-07,-6.21648292300346e-07,5.87695541387755e-09,5.87695541363495e-09,6.69730565354887e-07,-6.69730565356065e-07,-1.52243956204452e-06,0,0,0,0.409600000000182,103,964.136893203884,542.359223300971,2990.69902912621,960.664077669903,967.609708737864,551.867961165049,532.850485436893,3242.71844660194,2738.67961165049,0
1743.872,1.05964592586635e-07,5.35602740464532e-07,6.41567333051524e-07,-2.80617306454782e-07,1.34766460855813e-07,1.34766460855304e-07,,2.0644902803867e-07,7.40092938132097e-07,1.98126992248202e-07,,-4.67451505681821e-08,3.42046542944046e-07,2.00695169995099e-07,,2.63056241433119e-07,1.02626628617366e-07,3.6568287005064e-07,2.22031160521871e-07,-2.16242571357184e-08,2.22031160521537e-07,-7.47378950951357e-05,1.89695400177657e-05,-5.57683550773359e-05,,2.0708632639643e-07,,4.2915415356558e-07,-4.29154153565639e-07,-6.82210841866702e-07,3.54067213969612e-07,9.62786812535794e-08,4.50345895223118e-07,,9.83854245901479e-08,1.20052110615846e-07,,3.46799939299859e-07,-2.43042027976239e-07,5.92004976365242e-07,-6.63950075634716e-08,,,-1.20089141763895e-07,3.68721213268369e-07,-6.61114079917757e-07,1.12864964379235e-08,1.12864964376826e-08,6.7830621158137e-07,-6.78306211582576e-07,-1.46093877912707e-06,0,0,0,0.512000000000171,102,963.646078431372,541.71862745098,2983.12745098039,956.830392156863,970.461764705882,552.523529411765,530.913725490196,3227.01960784314,2739.23529411765,0
1743.9744,1.06283812476475e-07,5.27761558112536e-07,6.3404537058937e-07,-2.85022459639787e-07,1.28180110414229e-07,1.28180110413717e-07,,1.98996836350926e-07,6.65225307355608e-07,2.16738923962452e-07,,-4.05147923902158e-08,3.40103624042647e-07,1.98415629254024e-07,,2.70610067569181e-07,9.62045528963253e-08,3.66814620465667e-07,2.34022780093369e-07,-1.65594819277694e-08,2.34022780093032e-07,-7.47139903051522e-05,2.06905493223925e-05,-5.4023440982724e-05,,1.89816850368386e-07,,4.79407813806987e-07,-4.79407813807056e-07,-6.49811695678838e-07,3.54916649951422e-07,9.03744717351769e-08,4.4529112168652e-07,,8.3548267089469e-08,1.17597596712247e-07,,3.47015285046268e-07,-2.54352918583674e-07,5.91545456763719e-07,-6.40372056062751e-08,,,-1.21812454770773e-07,3.71017454504672e-07,-6.97508411464808e-07,1.54382314223174e-08,1.54382314220787e-08,6.91580899400535e-07,-6.91580899401772e-07,-1.39988577221373e-06,0,0,0,0.61440000000016,102,964.641176470588,549.300980392157,2974.92156862745,956.633333333333,972.649019607843,565.354901960784,533.247058823529,3195.04901960784,2754.79411764706,0
1744.0768,1.03003790416715e-07,5.18467257408012e-07,6.21471047825089e-07,-2.94916316394331e-07,1.22011735534445e-07,1.2201173553393e-07,,1.91845023191246e-07,5.90975607401956e-07,2.3270879179261e-07,,-3.68793171496686e-08,3.40564397473333e-07,1.94589894342324e-07,,2.74445919496653e-07,8.81953976840992e-08,3.62641317180918e-07,2.44310949221968e-07,-1.37007151651652e-08,2.44310949221626e-07,-7.45376857958123e-05,2.23497399273914e-05,-5.21879458683836e-05,,1.72147672520235e-07,,5.19293751745616e-07,-5.19293751745694e-07,-6.20314376456245e-07,3.56480000659459e-07,8.40874089414179e-08,4.40567409600795e-07,,6.97503509281898e-08,1.14261554496889e-07,,3.41398917787249e-07,-2.62810384024182e-07,5.87188543450103e-07,-6.10170059787431e-08,,,-1.23032357274118e-07,3.69617852783423e-07,-7.28140432951272e-07,1.76594709518138e-08,1.76594709515778e-08,7.08923267716945e-07,-7.08923267718214e-07,-1.34066682628672e-06,0,0,0,0.716800000000148,103,963.890291262136,547.325242718447,2947.56796116505,954.697087378641,973.083495145631,559.520388349515,535.130097087379,3158.1359223301,2737,0
1744.1792,9.53889579463287e-08,5.07903125514836e-07,6.03292083461527e-07,-3.11115028393144e-07,1.16749041691394e-07,1.16749041690877e-07,,1.85366275055325e-07,5.19971859627874e-07,2.44998528738345e-07,,-3.67118034456583e-08,3.43305637880023e-07,1.89741666824181e-07,,2.74209579825129e-07,7.88548367794941e-08,3.53064416604792e-07,2.52285035865263e-07,-1.34517404014484e-08,2.52285035864917e-07,-7.43309246861039e-05,2.39128981648202e-05,-5.04180265212451e-05,,1.54047673762973e-07,,5.47235476275767e-07,-5.47235476275856e-07,-5.96788855534337e-07,3.59285841606739e-07,7.78784037914395e-08,4.37164245398094e-07,,5.76054948641598e-08,1.10262976965554e-07,,3.30288126328281e-07,-2.68686323589337e-07,5.79225958885002e-07,-5.69748797740403e-08,,,-1.2339678853738e-07,3.65049186764643e-07,-7.50472055155672e-07,1.73549142576125e-08,1.73549142573792e-08,7.29801008495509e-07,-7.29801008496805e-07,-1.28511931713639e-06,0,0,0,0.819200000000137,102,961.110784313725,542.420588235294,2919.86274509804,951.510784313725,970.710784313725,553.324509803922,531.516666666667,3135.88235294118,2703.8431372549,0
1744.2816,8.28969377231918e-08,4.96407793303893e-07,5.79304731027448e-07,-3.34078128540494e-07,1.12934324920824e-07,1.12934324920305e-07,,1.79743098280926e-07,4.54271142649292e-07,2.52556896997541e-07,,-4.08557927584886e-08,3.47796079823306e-07,1.8482640057647e-07,,2.69788943528913e-07,6.85478328264288e-08,3.38336776355512e-07,2.5745073693738e-07,-1.61546948589085e-08,2.57450736937032e-07,-7.42302456414437e-05,2.5356526957164e-05,-4.88737186842402e-05,,1.35461267817869e-07,,5.61307574606668e-07,-5.61307574606763e-07,-5.82004178793689e-07,3.63983917776921e-07,7.23002909165847e-08,4.36284208693421e-07,,4.7693121275872e-08,1.06028704702477e-07,,3.14149707182771e-07,-2.72387249504202e-07,5.68381286553756e-07,-5.1521561128788e-08,,,-1.22519187210325e-07,3.58173438553867e-07,-7.62316928385223e-07,1.42281898199267e-08,1.4228189819697e-08,7.53775446183563e-07,-7.53775446184882e-07,-1.23540573862844e-06,0,0,0,0.921600000000126,103,960.732038834952,541.8,2931.19902912621,951.884466019417,969.579611650485,551.843689320388,531.756310679612,3175.73786407767,2686.66019417476,0
