time,S1-D1,S1-D8,S1-D9,S1-D15,S2-D1,S2-D2,S2-D3,S2-D9,S3-D1,S3-D2,S3-D16,S4-D2,S4-D3,S4-D5,S5-D3,S5-D4,S5-D5,S6-D2,S6-D5,S6-D17,S7-D6,S7-D7,S8-D6,S8-D7,S8-D18,S9-D3,S9-D4,S9-D9,S9-D11,S9-D19,S10-D8,S10-D9,S10-D10,S10-D11,S11-D8,S11-D10,S11-D20,S12-D10,S12-D11,S12-D12,S13-D4,S13-D11,S13-D12,S14-D10,S14-D12,S14-D21,S15-D13,S15-D14,S16-D13,S16-D14,S16-D22,SART_Target,SART_NonTarget,SART_Probe,t_rel_s,eye_n,xp,yp,ps,xpl_i,xpr_i,ypl_i,ypr_i,psl_i,psr_i,blink_prop
2582.4256,1.51127686617137e-07,1.36841441776823e-08,1.64811830794324e-07,4.48134081140339e-07,1.02274175536335e-07,1.0227417553547e-07,,-1.39349561044703e-08,-1.61103218303161e-08,1.47269646047552e-06,2.01962253118079e-07,1.47269646047432e-06,-2.0981188886043e-08,2.42871801557972e-08,,5.0778582559105e-08,,1.64634063258033e-07,3.04935174346743e-07,,4.39583734337645e-07,-1.64015284633066e-07,3.22344325071047e-07,1.58329040438068e-07,,-2.24099163445078e-08,,,,,-6.48873400967719e-07,1.72608161248811e-07,-4.76265239718875e-07,,-6.87017014655061e-08,-2.05871007332565e-07,7.63555211144357e-08,-5.20518044660668e-08,-5.2051804466467e-08,1.09048410157969e-06,-5.00950264320534e-07,,5.93632526740416e-08,,,,-6.18832645494516e-07,7.57040045013078e-07,1.17823035565228e-06,-1.1782303556523e-06,-1.30426160204417e-06,1,0,0,0,103,841.38640776699,558.366504854369,2371.62621359223,844.080582524272,838.692233009709,564.132038834952,552.600970873786,2160.64077669903,2582.61165048544,0
2582.528,1.46518568240606e-07,2.37259399063495e-08,1.70244508146451e-07,5.32395901410181e-07,1.08852768540325e-07,1.08852768539439e-07,,-6.43679414512467e-09,-3.57389030013406e-08,1.48903880975544e-06,2.35550854148522e-07,1.48903880975424e-06,-2.23336883659063e-08,2.64289001752128e-08,,-1.36912126966065e-08,,1.54660465012501e-07,7.29134742264303e-07,,6.37577221616132e-07,-1.44443586699644e-07,3.11316356464028e-07,1.66872769764489e-07,,-1.02724840585259e-08,,,,,-6.40286118600289e-07,1.65867376110393e-07,-4.7441874248988e-07,,-5.90808110117901e-08,-1.92333082021896e-07,1.093598396138e-07,-3.81162042014622e-08,-3.81162042018776e-08,1.14992698597299e-06,-5.62654727739566e-07,,-1.12799807211764e-07,,,,-6.43527296811022e-07,6.68733434700418e-07,1.3801284425566e-06,-1.38012844255661e-06,-1.35758008791224e-06,1,0,0,0.102399999999761,102,794.708333333333,559.508823529412,2366.65196078431,800.254901960784,789.161764705882,564.34705882353,554.670588235294,2143.05882352941,2590.24509803922,0
2582.6304,1.4008809100151e-07,3.53944346109398e-08,1.75482525611934e-07,6.24860691402263e-07,1.15370154163983e-07,1.15370154163079e-07,,1.83829965010616e-09,-5.4060672963576e-08,1.51012320472853e-06,2.60140976254266e-07,1.51012320472731e-06,-2.49728209966251e-08,2.9839483407736e-08,,-8.27434935268868e-08,,1.43165415784924e-07,1.06571557673026e-06,,7.79937237929875e-07,-1.27538072895324e-07,3.03425317502709e-07,1.75887244607506e-07,,2.62279753522378e-09,,,,,-6.34760253787448e-07,1.60709850737962e-07,-4.74050403049484e-07,,-4.75548440032175e-08,-1.78802702884942e-07,1.43337704531654e-07,-2.31262915207558e-08,-2.31262915211871e-08,1.20351544538264e-06,-6.22692326090453e-07,,-2.51377274083358e-07,,,,-6.74840895127056e-07,5.72723485392846e-07,1.58044819095786e-06,-1.58044819095787e-06,-1.40128210280954e-06,1,0,0,0.204799999999977,103,934.745631067961,550.106310679612,2362.64563106796,932.987378640777,936.503883495146,559.087378640777,541.125242718447,2138.5145631068,2586.77669902913,0
2582.7328,1.32290101030203e-07,4.86010380082394e-08,1.80891139037914e-07,7.20757556147455e-07,1.21943200857714e-07,1.21943200856793e-07,,1.09521467023604e-08,-7.04081617581448e-08,1.53797129984452e-06,2.76277668865603e-07,1.5379712998433e-06,-2.89099790629003e-08,3.4712802387106e-08,,-1.54064204209027e-07,,1.31571747192495e-07,1.28955643880045e-06,,8.58055601468209e-07,-1.13448150472797e-07,2.97988039659401e-07,1.8453988918674e-07,,1.60439589744014e-08,,,,,-6.32040657662102e-07,1.57672213109204e-07,-4.74368444552909e-07,,-3.42666873009888e-08,-1.65445233655774e-07,1.76022367582034e-07,-7.55485613074346e-09,-7.55485613119119e-09,1.24713316219281e-06,-6.75151846421722e-07,,-3.73342202377699e-07,,,,-7.13989260864973e-07,4.71608605249273e-07,1.76864527327581e-06,-1.76864527327581e-06,-1.43825183698983e-06,0,0,0,0.307200000000194,102,970.525,551.802450980392,2359.21078431373,969.141176470588,971.908823529412,560.710784313726,542.894117647059,2147.05882352941,2571.36274509804,0
2582.8352,1.23641885829932e-07,6.30859183286212e-08,1.86727804158012e-07,8.14556714067357e-07,1.28634746712748e-07,1.28634746711811e-07,,2.0801527764031e-08,-8.44180296364343e-08,1.5737539705645e-06,2.85160495653355e-07,1.57375397056327e-06,-3.40107792184551e-08,4.11135613495025e-08,,-2.24920641612371e-07,,1.2110062776242e-07,1.38529353108981e-06,,8.68558361215424e-07,-1.0242391205536e-07,2.94453256423583e-07,1.92029344368374e-07,,2.97105382522677e-08,,,,,-6.31221732294457e-07,1.5713467144433e-07,-4.74087060850149e-07,,-1.95363162985056e-08,-1.5238481361282e-07,2.05040681345988e-07,8.01509701015908e-09,8.01509700969497e-09,1.27742449073476e-06,-7.14798162771976e-07,,-4.95486676064359e-07,,,,-7.60027787534578e-07,3.68779137677549e-07,1.93573196755796e-06,-1.93573196755795e-06,-1.4722140428848e-06,0,0,0,0.409599999999955,103,972.480097087379,558.264077669903,2360.90776699029,971.521359223301,973.438834951456,568.274757281554,548.253398058252,2152.08737864078,2569.72815533981,0
2582.9376,1.14644340325444e-07,7.84824980740366e-08,1.93126838398927e-07,9.00876083828211e-07,1.35464331153129e-07,1.35464331152176e-07,,3.11392674868336e-08,-9.60333373989965e-08,1.61774528301042e-06,2.88473041174728e-07,1.61774528300917e-06,-4.00311480539485e-08,4.89837380150485e-08,,-2.92557582910232e-07,,1.12589619063786e-07,1.34947074010599e-06,,8.14260336074469e-07,-9.47183154506024e-08,2.92393653662412e-07,1.97675338211973e-07,,4.33378476722594e-08,,,,,-6.31014255123704e-07,1.59287211972911e-07,-4.71727043150824e-07,,-3.8087389054805e-09,-1.39686648281528e-07,2.28311583793293e-07,2.29867765301567e-08,2.29867765296768e-08,1.29226944373334e-06,-7.37794184053313e-07,,-6.32269477550276e-07,,,,-8.10091618438228e-07,2.67865393465368e-07,2.07510791628078e-06,-2.07510791628075e-06,-1.50705533268656e-06,0,0,0,0.512000000000171,102,978.747058823529,554.571078431373,2366.01470588235,976.682352941176,980.811764705882,561.488235294118,547.653921568627,2162.91176470588,2569.11764705882,0
2583.04,1.05713352429365e-07,9.43895578443056e-08,2.00102910273106e-07,9.75337687793909e-07,1.42422667743052e-07,1.42422667742084e-07,,4.16145484994023e-08,-1.05467148736372e-07,1.66935925967037e-06,2.88137439897285e-07,1.66935925966911e-06,-4.66780223584072e-08,5.81619264387321e-08,,-3.54582735582736e-07,,1.0641443301006e-07,1.1908051583833e-06,,7.03897274013879e-07,-9.04476030850967e-08,2.91448213758422e-07,2.010006106735e-07,,5.6679130754324e-08,,,,,-6.30080073056085e-07,1.64122878597661e-07,-4.65957194458463e-07,,1.24136194912196e-08,-1.27348155862641e-07,2.44410078574711e-07,3.68446373589372e-08,3.68446373584425e-08,1.2911026746135e-06,-7.4218254942506e-07,,-7.94584014921493e-07,,,,-8.60116493682179e-07,1.72202662769032e-07,2.18315825762758e-06,-2.18315825762755e-06,-1.54609489036688e-06,0,0,0,0.614399999999932,102,981.697058823529,551.908333333333,2374.71568627451,980.248039215686,983.146078431372,561.43137254902,542.385294117647,2174.41176470588,2575.01960784314,0
2583.1424,9.71465517874862e-08,1.10411796584639e-07,2.07558348371551e-07,1.03507322762378e-06,1.49470415158565e-07,1.4947041515758e-07,,5.18058972768513e-08,-1.1313771701445e-07,1.72716123150645e-06,2.86037687687691e-07,1.72716123150518e-06,-5.36572386128448e-08,6.839653044982e-08,,-4.09198977926456e-07,,1.02543888830385e-07,9.28417022951281e-07,,5.5065084652821e-07,-8.94599697554129e-08,2.91255496475778e-07,2.01795526720549e-07,,6.95403659701403e-08,,,,,-6.27281164795882e-07,1.71448195008034e-07,-4.55832969787895e-07,,2.86199064559784e-08,-1.15306411469441e-07,2.52776376679491e-07,4.92139306928207e-08,4.92139306923126e-08,1.27497597512349e-06,-7.28029054763712e-07,,-9.88900673443176e-07,,,,-9.05754852877365e-07,8.45216599218989e-08,2.25943446990483e-06,-2.25943446990479e-06,-1.59146628701511e-06,0,0,0,0.716800000000148,103,979.273786407767,554.588349514563,2383.17475728155,979.573786407767,978.973786407767,569.753398058252,539.423300970874,2182.38834951456,2583.96116504854,0
2583.2448,8.91243691155515e-08,1.2615698400706e-07,2.1528135312203e-07,1.07879011357243e-06,1.56515754105629e-07,1.56515754104627e-07,,6.12395952775936e-08,-1.19586706535966e-07,1.78881221916762e-06,2.83757777435215e-07,1.78881221916635e-06,-6.06884068010009e-08,7.93457684306426e-08,,-4.55257329508085e-07,,1.00702459617944e-07,5.88738657080992e-07,,3.70008321786211e-07,-9.12494179246262e-08,2.91403016470685e-07,2.00153598546252e-07,,8.17610002361065e-08,,,,,-6.21765084630293e-07,1.80900371920459e-07,-4.40864712709888e-07,,4.43074963569013e-08,-1.03462636897436e-07,2.53731837528556e-07,5.98756631692746e-08,5.98756631687542e-08,1.24633755439778e-06,-6.97241235407969e-07,,-1.21644005604669e-06,,,,-9.43177688956276e-07,6.92777435990011e-09,2.30641925784635e-06,-2.3064192578463e-06,-1.64374307941325e-06,0,0,0,0.81919999999991,102,975.425,558.241176470588,2396.91666666667,977.582352941177,973.267647058823,576.483333333333,539.999019607843,2194.00980392157,2599.82352941177,0
2583.3472,8.1732657554699e-08,1.41207117122925e-07,2.22939774677036e-07,1.1065050654582e-06,1.63385532423503e-07,1.63385532422483e-07,,6.94088658635849e-08,-1.25391099552548e-07,1.85103115441419e-06,2.82372787205514e-07,1.85103115441291e-06,-6.74931075499799e-08,9.05742972027115e-08,,-4.92185396532559e-07,,1.0057150779952e-07,2.01873773761606e-07,,1.77500671107533e-07,-9.49398774340488e-08,2.91411693406059e-07,1.96471815972211e-07,,9.3173987405115e-08,,,,,-6.12907307268163e-07,1.91964842182283e-07,-4.20942465085942e-07,,5.89750674234608e-08,-9.17167314287316e-08,2.4833301313502e-07,6.87460007424679e-08,6.87460007419371e-08,1.20858904616207e-06,-6.53134611649106e-07,,-1.47265269592688e-06,,,,-9.69569589358573e-07,-5.89079951358757e-08,2.32899407153346e-06,-2.3289940715334e-06,-1.70189808861007e-06,0,0,0,0.921600000000126,102,973.008823529412,561.478921568628,2410.08333333333,975.494117647059,970.523529411765,581.48137254902,541.476470588235,2203.16666666667,2617,0
