time,S1-D1,S1-D8,S1-D9,S1-D15,S2-D1,S2-D2,S2-D3,S2-D9,S3-D1,S3-D2,S3-D16,S4-D2,S4-D3,S4-D5,S5-D3,S5-D4,S5-D5,S6-D2,S6-D5,S6-D17,S7-D6,S7-D7,S8-D6,S8-D7,S8-D18,S9-D3,S9-D4,S9-D9,S9-D11,S9-D19,S10-D8,S10-D9,S10-D10,S10-D11,S11-D8,S11-D10,S11-D20,S12-D10,S12-D11,S12-D12,S13-D4,S13-D11,S13-D12,S14-D10,S14-D12,S14-D21,S15-D13,S15-D14,S16-D13,S16-D14,S16-D22,SART_Target,SART_NonTarget,SART_Probe
1661.5424,3.67543706564342e-07,-4.68091641068838e-07,-1.00547934504567e-07,-9.9599894093656e-08,-8.02428074185948e-08,-8.02428074185786e-08,NaN,-1.92054914357818e-07,9.67955180955186e-07,-5.06669745659539e-08,3.11417197191586e-08,-5.0666974565754e-08,1.7121798841573e-07,-6.19724042022437e-08,1.09245584213596e-07,-1.25622067656121e-09,-4.17444350926883e-08,-4.30006557691041e-08,2.69975026066834e-07,NaN,2.43171661778927e-07,1.70141701612329e-06,-9.31588780518882e-07,7.6982823560592e-07,NaN,2.21844505603895e-08,1.93014686420135e-07,1.37841175697545e-07,-1.37841175697589e-07,3.5647055756052e-07,-1.67348528652134e-07,1.90088427467152e-07,2.27398988149024e-08,NaN,5.49983111057347e-08,2.33413345979511e-07,-5.50871506170597e-07,-1.95811693243817e-07,-1.95811693244236e-07,NaN,1.62008934461219e-08,1.39779990448632e-07,NaN,1.05076971260063e-07,4.93094785117557e-08,-4.19191505471907e-07,-2.81896510429337e-07,-2.81896510429129e-07,4.31752059972459e-07,-1.42011134009959e-06,NaN,0,1,0
1661.6448,3.75085093124823e-07,-4.61119250506199e-07,-8.60341573814436e-08,-8.58761591630093e-08,-7.81382629045372e-08,-7.81382629045214e-08,NaN,-5.94489456977552e-07,1.01627420590282e-06,-5.39063634833881e-08,2.63946205392852e-08,-5.39063634831844e-08,1.71917560893641e-07,-5.98577532127434e-08,1.1205980768101e-07,5.38678535723727e-09,-4.40362264881837e-08,-3.86494411307993e-08,2.7231238883413e-07,NaN,2.4395299241135e-07,1.7050354174352e-06,-9.06608951484069e-07,7.98426465952709e-07,NaN,2.47541035411461e-08,1.84690071959101e-07,1.14117783933627e-07,-1.14117783933671e-07,3.38535986181366e-07,-1.77654379043749e-07,1.93851880713195e-07,1.61975016693305e-08,NaN,5.40577010037268e-08,2.20973339926556e-07,-5.82926359141572e-07,-1.91576555774599e-07,-1.91576555775029e-07,NaN,1.35220687415311e-08,1.29644079016573e-07,NaN,1.16764662803013e-07,4.9656036799128e-08,-3.99488817420146e-07,-2.81538891791789e-07,-2.81538891791575e-07,3.90248457573602e-07,-1.4155152517894e-06,NaN,0,1,0
1661.7472,3.80655999791211e-07,-4.51501791814104e-07,-7.08457920229587e-08,-7.35209624020615e-08,-7.66269201782618e-08,-7.66269201782456e-08,NaN,-9.52963396497415e-07,1.03092634972664e-06,-5.75145330990039e-08,2.06624597851184e-08,-5.75145330987968e-08,1.71591463463733e-07,-5.66664319605684e-08,1.14925031503277e-07,1.23369788689287e-08,-4.60043375573304e-08,-3.36673586882523e-08,2.74728712474565e-07,NaN,2.44818623964538e-07,1.69010689750662e-06,-8.50772371793961e-07,8.39334525714314e-07,NaN,2.73144142580577e-08,1.76293959302181e-07,9.15356839208332e-08,-9.15356839208762e-08,3.14492392319681e-07,-1.85210945253517e-07,1.95389153276493e-07,1.01782080228621e-08,NaN,5.24474123345588e-08,2.08792557421535e-07,-6.10600169122425e-07,-1.91200386207939e-07,-1.91200386208379e-07,NaN,1.09021992528405e-08,1.18315847836315e-07,NaN,1.29265929753362e-07,5.0479118641896e-08,-3.813650631958e-07,-2.79750436792112e-07,-2.79750436791892e-07,3.53753326538371e-07,-1.41091394733501e-06,NaN,0,1,0
1661.8496,3.80540000163815e-07,-4.39485290185998e-07,-5.89452900222505e-08,-6.48702319924828e-08,-7.59892770681161e-08,-7.59892770680982e-08,NaN,-1.21013891505759e-06,1.00120962575207e-06,-6.15313168151096e-08,1.4253999417488e-08,-6.15313168148998e-08,1.70143863601924e-07,-5.27309055675229e-08,1.17412958034513e-07,1.86412751888568e-08,-4.76264996329144e-08,-2.89852244439058e-08,2.7652250158008e-07,NaN,2.45011657192321e-07,1.65212864726578e-06,-7.61257741182873e-07,8.90870906084642e-07,NaN,2.97722346427364e-08,1.68739808523722e-07,7.13262577630357e-08,-7.13262577630773e-08,2.84154549960803e-07,-1.88573063703834e-07,1.94251339155807e-07,5.67827545186121e-09,NaN,5.02226598428386e-08,1.97868786502746e-07,-6.3307594623456e-07,-1.94683544980188e-07,-1.94683544980641e-07,NaN,8.57154266877578e-09,1.06818351105335e-07,NaN,1.42108388950477e-07,5.1925651413286e-08,-3.65935169819654e-07,-2.76261973789941e-07,-2.76261973789717e-07,3.2393872086349e-07,-1.40507543461188e-06,NaN,0,0,0
1661.952,3.71251609366094e-07,-4.254843828306e-07,-5.42327734645742e-08,-6.18204699862378e-08,-7.63875764087244e-08,-7.6387576408704e-08,NaN,-1.31336663960432e-06,9.19787446278216e-07,-6.59293332166304e-08,7.55102374853242e-09,-6.59293332164189e-08,1.67450974816834e-07,-4.84509539386363e-08,1.1900002087831e-07,2.33859425116161e-08,-4.88776116664811e-08,-2.549166915471e-08,2.76946402475468e-07,NaN,2.43719976876979e-07,1.58620369643575e-06,-6.36527878838288e-07,9.49675817599281e-07,NaN,3.19701939163258e-08,1.62860975295439e-07,5.46267995852449e-08,-5.46267995852844e-08,2.4773530424137e-07,-1.86626834668059e-07,1.9023283971404e-07,3.6060050458706e-09,NaN,4.75080962253692e-08,1.89040363946867e-07,-6.49900483230122e-07,-2.01722803308709e-07,-2.01722803309174e-07,NaN,6.75017715067779e-09,9.61453385561855e-08,NaN,1.5474959924365e-07,5.40967659855643e-08,-3.53838173491819e-07,-2.70948932787733e-07,-2.70948932787504e-07,3.02547873827079e-07,-1.39672301411779e-06,NaN,0,0,0
1662.0544,3.50137380073273e-07,-4.0999061915013e-07,-5.98532390769287e-08,-6.55204742825401e-08,-7.77943947682146e-08,-7.77943947681912e-08,NaN,-1.22395538629482e-06,7.84481333822551e-07,-7.06353579773191e-08,9.5070213103248e-10,-7.06353579771069e-08,1.63369628573594e-07,-4.42174399684246e-08,1.19152188605281e-07,2.5807094414173e-08,-4.97065658404901e-08,-2.38994714261586e-08,2.75350485866071e-07,NaN,2.40259108390137e-07,1.48817742365802e-06,-4.77476948470182e-07,1.01070047518974e-06,NaN,3.37058340815877e-08,1.5929341221424e-07,4.2271425710904e-08,-4.22714257109405e-08,2.0586607355326e-07,-1.78795533690276e-07,1.83423760221062e-07,4.62822653067661e-09,NaN,4.45020442212671e-08,1.82877695859264e-07,-6.61057581148425e-07,-2.11787636573857e-07,-2.11787636574336e-07,NaN,5.62112423636302e-09,8.70955568745003e-08,NaN,1.66690331422549e-07,5.70127941449208e-08,-3.45160563034478e-07,-2.63851297565307e-07,-2.63851297565075e-07,2.91388051462233e-07,-1.38488730405573e-06,NaN,0,0,0
1662.1568,3.15713900281015e-07,-3.93498372603668e-07,-7.77844723227298e-08,-7.62354444119801e-08,-7.99759888687661e-08,-7.99759888687388e-08,NaN,-9.22825097088778e-07,5.98397423042406e-07,-7.5558925904746e-08,-5.18907048267257e-09,-7.5558925904534e-08,1.57739076960182e-07,-4.03465174076907e-08,1.17392559552602e-07,2.53551112672669e-08,-5.00276764044366e-08,-2.46725651370076e-08,2.71275487843633e-07,NaN,2.34192729018548e-07,1.35620108230067e-06,-2.88649438128873e-07,1.06755164417381e-06,NaN,3.47645221895638e-08,1.58410466407673e-07,3.46100239185891e-08,-3.46100239186215e-08,1.59556872306035e-07,-1.65129733304207e-07,1.74200008272697e-07,9.07027496838154e-09,NaN,4.14619663347376e-08,1.79642961225352e-07,-6.66934837663704e-07,-2.24217508903795e-07,-2.24217508904289e-07,NaN,5.31089701483121e-09,8.01815956147821e-08,NaN,1.7754870060303e-07,6.05791676260121e-08,-3.39515521788414e-07,-2.55163811617117e-07,-2.55163811616883e-07,2.91926148592374e-07,-1.36900255413955e-06,NaN,0,0,0
1662.2592,2.67698947456255e-07,-3.76498737017085e-07,-1.08799789560911e-07,-9.33865538066124e-08,-8.25388195776127e-08,-8.25388195775811e-08,NaN,-4.11523418070802e-07,3.68720150984684e-07,-8.0608382739707e-08,-1.05907844046487e-08,-8.06083827394961e-08,1.50380066053482e-07,-3.70397320980949e-08,1.13340333955497e-07,2.17227532703279e-08,-4.97326065515267e-08,-2.80098532810331e-08,2.64478562170054e-07,NaN,2.25366361860156e-07,1.19222262117038e-06,-7.90950063937658e-08,1.11312761477872e-06,NaN,3.49486512405209e-08,1.60317316134886e-07,3.14176037438669e-08,-3.14176037438941e-08,1.10098968515355e-07,-1.46261134512443e-07,1.63149610558002e-07,1.68884760454503e-08,NaN,3.86666384853304e-08,1.79311661718096e-07,-6.68231994763421e-07,-2.38300464547679e-07,-2.38300464548187e-07,NaN,5.87764308299861e-09,7.56265742731658e-08,NaN,1.87055962891405e-07,6.45647447869898e-08,-3.36235503210129e-07,-2.45218082676814e-07,-2.45218082676577e-07,3.04579609167006e-07,-1.3487187653792e-06,NaN,0,0,0
1662.3616,2.06830760218295e-07,-3.59534570898921e-07,-1.52703810680714e-07,-1.15728388633613e-07,-8.50148708020003e-08,-8.50148708019636e-08,NaN,2.90596434165769e-07,1.04911639174574e-07,-8.5694629452988e-08,-1.50822092641521e-08,-8.5694629452779e-08,1.41102811413244e-07,-3.43752928913116e-08,1.06727518522043e-07,1.48531945627904e-08,-4.87217955805477e-08,-3.38686010175883e-08,2.54909890279464e-07,NaN,2.13872019133003e-07,1.00269108309353e-06,1.37733211443237e-07,1.14042429453898e-06,NaN,3.41000236182392e-08,1.64884936465597e-07,3.18986086376971e-08,-3.1898608637718e-08,5.89258898669612e-08,-1.23257448724528e-07,1.50961822523002e-07,2.77043737983645e-08,NaN,3.63649661456343e-08,1.81628152508957e-07,-6.65847130740359e-07,-2.53314254986381e-07,-2.53314254986905e-07,NaN,7.30576895804745e-09,7.34184378500599e-08,NaN,1.95002733094014e-07,6.86113191269352e-08,-3.34593157809546e-07,-2.34464897116272e-07,-2.34464897116034e-07,3.28084524841472e-07,-1.32361929081915e-06,NaN,0,0,0
1662.464,1.34619844910147e-07,-3.43255094190008e-07,-2.08635249279955e-07,-1.41618767071356e-07,-8.6955407794141e-08,-8.69554077941002e-08,NaN,1.15149888002358e-06,-1.83174449931494e-07,-9.0733521892703e-08,-1.86061737402379e-08,-9.07335218924967e-08,1.29734391539064e-07,-3.23329541856625e-08,9.74014373535123e-08,4.93370640682762e-09,-4.69462572247255e-08,-4.20125508177254e-08,2.42672522717601e-07,NaN,1.99976234204831e-07,7.97852266795391e-07,3.45542047342131e-07,1.14339431413985e-06,NaN,3.21180718541394e-08,1.71792336768026e-07,3.47737786335709e-08,-3.4773778633585e-08,7.46240994065908e-09,-9.74382230477777e-08,1.38317692287253e-07,4.08794692393636e-08,NaN,3.47291885222164e-08,1.8616521929701e-07,-6.60744994370081e-07,-2.68532667708964e-07,-2.68532667709503e-07,NaN,9.50747935502618e-09,7.33790527953487e-08,NaN,2.01195492940794e-07,7.22883362938589e-08,-3.33961285295753e-07,-2.23447337256425e-07,-2.23447337256186e-07,3.59367636927188e-07,-1.29311801078008e-06,NaN,0,0,0
