time,S1-D1,S1-D8,S1-D9,S1-D15,S2-D1,S2-D2,S2-D3,S2-D9,S3-D1,S3-D2,S3-D16,S4-D2,S4-D3,S4-D5,S5-D3,S5-D4,S5-D5,S6-D2,S6-D5,S6-D17,S7-D6,S7-D7,S8-D6,S8-D7,S8-D18,S9-D3,S9-D4,S9-D9,S9-D11,S9-D19,S10-D8,S10-D9,S10-D10,S10-D11,S11-D8,S11-D10,S11-D20,S12-D10,S12-D11,S12-D12,S13-D4,S13-D11,S13-D12,S14-D10,S14-D12,S14-D21,S15-D13,S15-D14,S16-D13,S16-D14,S16-D22,SART_Target,SART_NonTarget,SART_Probe
1849.1392,1.09677242390986e-08,4.88106214063944e-08,5.97783456456468e-08,2.01739486693608e-07,3.75592512821574e-07,3.75592512821736e-07,-2.83914164295587e-07,2.64360113847589e-07,-1.95540504480067e-08,-5.85674505067872e-06,2.47117154296728e-06,-5.85674505067531e-06,2.65497655627942e-07,NaN,NaN,2.87390160485928e-07,NaN,1.77349221564971e-07,3.5835121698753e-07,-2.68658220759695e-07,3.58351216987437e-07,1.69432083554676e-07,1.84084449422907e-07,3.53516532977432e-07,1.10473099485241e-07,-2.99664576435537e-08,NaN,NaN,-1.62256283454134e-07,-1.04493207650415e-07,1.34996860841214e-07,1.26331670874891e-07,2.61328531716903e-07,2.32730185710809e-07,-6.38811757616234e-08,1.6884900994894e-07,3.63159334700178e-07,-6.50414606151687e-08,-6.50414606151148e-08,-2.21240277482357e-07,8.57527038502124e-08,NaN,-4.18655483063597e-08,-2.35123862894944e-07,-2.76989411201637e-07,-1.2225154854436e-07,1.64067031765535e-07,1.64067031765874e-07,-4.69302165617099e-07,4.69302165617471e-07,-8.94436551201615e-08,1,0,0
1849.2416,8.1806692981326e-09,4.65542111467955e-08,5.47348804450748e-08,1.93840184083805e-07,3.88887224238924e-07,3.88887224239085e-07,-3.05217041643419e-07,2.92748892714164e-07,-1.2468148929261e-08,-6.13068693427511e-06,2.68330748483444e-06,-6.1306869342717e-06,2.74347643748274e-07,NaN,NaN,2.91140733632456e-07,NaN,1.8165041591665e-07,3.49864451579335e-07,-2.91201605323654e-07,3.49864451579229e-07,1.86084172329452e-07,1.81881562271206e-07,3.67965734600509e-07,1.03267037027167e-07,-3.43604679235611e-08,NaN,NaN,-1.55707714700264e-07,-1.05447902792365e-07,1.04742481487385e-07,1.6537775097609e-07,2.70120232464269e-07,2.33462803527731e-07,-6.61108203132621e-08,1.67351983214227e-07,3.43850411274491e-07,-6.28958334865955e-08,-6.28958334865439e-08,-2.54908842295625e-07,1.24259951534192e-07,NaN,-3.22516675140931e-08,-2.03946733826299e-07,-2.36198401340727e-07,-1.26994940278385e-07,1.71584191793714e-07,1.71584191794052e-07,-4.68389400178753e-07,4.68389400179123e-07,-8.83704866585254e-08,1,0,0
1849.344,4.79802176413342e-09,4.44590500599222e-08,4.92570718241953e-08,1.8695881772461e-07,3.99619930253532e-07,3.99619930253692e-07,-3.24945194501227e-07,3.20778819352176e-07,-4.16637514905372e-09,-6.38595805142887e-06,2.90028359960237e-06,-6.38595805142546e-06,2.8224107412855e-07,NaN,NaN,2.94445517971229e-07,NaN,1.85748735244393e-07,3.42324037052766e-07,-3.15561197520162e-07,3.42324037052648e-07,2.03239872693124e-07,1.78514598669959e-07,3.81754471362936e-07,9.43379587372556e-08,-3.89332562956797e-08,NaN,NaN,-1.47908226236772e-07,-1.07558292720038e-07,6.34388165942006e-08,2.11569827070857e-07,2.75008643665847e-07,2.34209182638236e-07,-6.80451985992456e-08,1.66163984038752e-07,3.24242343672873e-07,-5.93652051157473e-08,-5.93652051156978e-08,-3.02634578757003e-07,1.80052138368204e-07,NaN,-1.35958014724615e-08,-1.72184310700974e-07,-1.85780112173771e-07,-1.32110202180622e-07,1.79496115696402e-07,1.79496115696738e-07,-4.59554780592536e-07,4.59554780592904e-07,-8.84550914269243e-08,1,0,0
1849.4464,7.83917816553557e-10,4.22902936080555e-08,4.30742114247426e-08,1.80540948611547e-07,4.07007868683166e-07,4.07007868683325e-07,-3.42395538401204e-07,3.47465645437972e-07,5.07010703676847e-09,-6.61777152292827e-06,3.11637871115814e-06,-6.61777152292485e-06,2.89121195109421e-07,NaN,NaN,2.97732875978328e-07,NaN,1.89834746870245e-07,3.35747277351781e-07,-3.41785522462194e-07,3.35747277351652e-07,2.20818007859517e-07,1.74107133277203e-07,3.94925141136574e-07,8.42602208517181e-08,-4.37442946425597e-08,NaN,NaN,-1.39255447909544e-07,-1.10810063307364e-07,1.30186124636453e-08,2.64393770820475e-07,2.77412383284905e-07,2.3525341667186e-07,-6.97680172568925e-08,1.65485399414734e-07,3.04692606464685e-07,-5.44578755334073e-08,-5.44578755333595e-08,-3.61708174636662e-07,2.50491224527968e-07,NaN,1.24948066618489e-08,-1.40243881544031e-07,-1.27749074882518e-07,-1.37796472783601e-07,1.87509220189822e-07,1.87509220190157e-07,-4.45746317729537e-07,4.45746317729903e-07,-8.93715916317278e-08,0,0,0
1849.5488,-3.8814442153634e-09,3.97680204766814e-08,3.5886576261446e-08,1.73913951664604e-07,4.10317750083275e-07,4.10317750083433e-07,-3.56838418128124e-07,3.71690739753435e-07,1.48523216253129e-08,-6.82075735596816e-06,3.32418262608492e-06,-6.82075735596473e-06,2.94960240728812e-07,NaN,NaN,3.0139802846223e-07,NaN,1.94067040074107e-07,3.30000954421869e-07,-3.69598065399443e-07,3.30000954421729e-07,2.38624869000868e-07,1.68837874881695e-07,4.0746274388242e-07,7.37319367855446e-08,-4.88015687931316e-08,NaN,NaN,-1.3026324448849e-07,-1.14978027776369e-07,-4.34084787440357e-08,3.2224311673843e-07,2.78834637995175e-07,2.3685528074977e-07,-7.13633384223586e-08,1.6549194232718e-07,2.85719328272521e-07,-4.82445495810834e-08,-4.82445495810373e-08,-4.28496019600737e-07,3.31815718992274e-07,NaN,4.36693552001778e-08,-1.08680217604487e-07,-6.50108624046448e-08,-1.44050645610256e-07,1.95318279761763e-07,1.95318279762098e-07,-4.30132772869702e-07,4.30132772870067e-07,-9.07247792907112e-08,0,0,0
1849.6512,-9.13388323676938e-09,3.66337847873769e-08,2.74999015507299e-08,1.6639964898266e-07,4.09028243820278e-07,4.09028243820435e-07,-3.6759055390611e-07,3.92361059087703e-07,2.47705051815986e-08,-6.9896333904528e-06,3.51518512827573e-06,-6.98963339044936e-06,2.99792787000766e-07,NaN,NaN,3.05766145843209e-07,NaN,1.9856139961106e-07,3.24809742443022e-07,-3.98437801475938e-07,3.24809742442872e-07,2.56376506247454e-07,1.62909775406528e-07,4.1928628165384e-07,6.35062489958508e-08,-5.40732229089541e-08,NaN,NaN,-1.21509740872609e-07,-1.1971361131362e-07,-1.02010115876205e-07,3.82974265378497e-07,2.80964149503068e-07,2.39188980882053e-07,-7.29177971948808e-08,1.66271183686945e-07,2.67962584051763e-07,-4.08533401346075e-08,-4.08533401345631e-08,-4.98952966558945e-07,4.19601637689558e-07,NaN,7.71847721809756e-08,-7.81919598171235e-08,-1.00718763648374e-09,-1.50662371835211e-07,2.02638865248785e-07,2.02638865249119e-07,-4.15590651953227e-07,4.1559065195359e-07,-9.21017275059472e-08,0,0,0
1849.7536,-1.47772826664549e-08,3.27143762083485e-08,1.79370935420104e-08,1.57421878473563e-07,4.02948557400048e-07,4.02948557400203e-07,-3.74114216836138e-07,4.08583337576008e-07,3.44691207398763e-08,-7.12037145792788e-06,3.68092892577655e-06,-7.12037145792443e-06,3.03743892582776e-07,NaN,NaN,3.11057943802885e-07,NaN,2.03386483118268e-07,3.19752582456791e-07,-4.27552123280532e-07,3.19752582456632e-07,2.73732799250359e-07,1.56522227366057e-07,4.30255026616276e-07,5.42955549313453e-08,-5.95103528901595e-08,NaN,NaN,-1.1356142884902e-07,-1.24654376381636e-07,-1.58893646763406e-07,4.44532440530289e-07,2.85638793767654e-07,2.42295477978057e-07,-7.45180907169692e-08,1.67777387260864e-07,2.52092188905666e-07,-3.24762132755157e-08,-3.24762132754727e-08,-5.69106860926539e-07,5.0924385971064e-07,NaN,1.10365814258446e-07,-4.96110814174183e-08,6.07547328406925e-08,-1.5724592561446e-07,2.09222445085558e-07,2.09222445085891e-07,-4.04256450013977e-07,4.04256450014339e-07,-9.31304452805306e-08,0,0,0
1849.856,-2.04897275292941e-08,2.79548542642658e-08,7.46512673508305e-09,1.46567783105383e-07,3.92255854417125e-07,3.92255854417279e-07,-3.76112812213571e-07,4.19785611468931e-07,4.36727992553698e-08,-7.21123172266873e-06,3.81426183338487e-06,-7.21123172266528e-06,3.07024753218562e-07,NaN,NaN,3.17356007439136e-07,NaN,2.08553467392396e-07,3.14276996671796e-07,-4.56097362069866e-07,3.14276996671629e-07,2.90323125013563e-07,1.49857717102007e-07,4.40180842115431e-07,4.66770912079653e-08,-6.50656980273765e-08,NaN,NaN,-1.06895499362946e-07,-1.29513686569153e-07,-2.10730980851697e-07,5.05366454297701e-07,2.9463547344677e-07,2.46069490956556e-07,-7.62428526760381e-08,1.69826638280297e-07,2.38713734196362e-07,-2.33846276160679e-08,-2.33846276160263e-08,-6.35404462966652e-07,5.96332645578459e-07,NaN,1.41022655341425e-07,-2.38706521371954e-08,1.17152003203894e-07,-1.63305263860121e-07,2.14865065270509e-07,2.14865065270841e-07,-3.97283303529116e-07,3.97283303529475e-07,-9.35435228245549e-08,0,0,0
1849.9584,-2.58854939544002e-08,2.2412678023321e-08,-3.47281593097343e-09,1.33572411672765e-07,3.77455388010434e-07,3.77455388010587e-07,-3.73596857760503e-07,4.2575893968315e-07,5.21620819226592e-08,-7.26317168306585e-06,3.91025289008059e-06,-7.26317168306241e-06,3.09889752967572e-07,NaN,NaN,3.245827209053e-07,NaN,2.14002811921376e-07,3.07736390915561e-07,-4.83233137663508e-07,3.07736390915387e-07,3.0576590906586e-07,1.43079668101263e-07,4.48845577166987e-07,4.10323328039017e-08,-7.06975614176727e-08,NaN,NaN,-1.01840303191892e-07,-1.34115723337502e-07,-2.55147776672055e-07,5.64493326888807e-07,3.0934555021751e-07,2.50288811536859e-07,-7.81497256975056e-08,1.72139085839136e-07,2.28310005368101e-07,-1.39361447240195e-08,-1.39361447239791e-08,-6.9483906694112e-07,6.7684783296917e-07,NaN,1.67711421798477e-07,-1.91821528991772e-09,1.65793206508223e-07,-1.68322898226636e-07,2.19414162827503e-07,2.19414162827833e-07,-3.94853054746535e-07,3.94853054746891e-07,-9.32557923128784e-08,0,0,0
1850.0608,-3.05934755856047e-08,1.62275698110615e-08,-1.43659057744428e-08,1.1824860493638e-07,3.59296540055562e-07,3.59296540055715e-07,-3.66894738253684e-07,4.26636411495042e-07,5.97416732413716e-08,-7.27946456725888e-06,3.96665866819745e-06,-7.27946456725545e-06,3.12578749541006e-07,NaN,NaN,3.32502519090425e-07,NaN,2.19603370853648e-07,2.99433083238537e-07,-5.08239930821366e-07,2.99433083238357e-07,3.19701020704208e-07,1.36326403540242e-07,4.56027424244316e-07,3.75261351909118e-08,-7.63634467834333e-08,NaN,NaN,-9.85447654783236e-08,-1.38377987851696e-07,-2.90848504564851e-07,6.21286672282474e-07,3.30438167718376e-07,2.54666018853578e-07,-8.02608840957774e-08,1.74405134757586e-07,2.21212351355346e-07,-4.55596136182458e-09,-4.55596136178512e-09,-7.44886714671813e-07,7.47207632821869e-07,NaN,1.89798636994005e-07,1.54612625253117e-08,2.0525989951898e-07,-1.71852232094568e-07,2.2276574182619e-07,2.22765741826519e-07,-3.96375803689357e-07,3.96375803689711e-07,-9.24509575090763e-08,0,0,0
