id,n_samples,prop_interp_psl,prop_interp_psr,prop_interp_xpl,prop_interp_ypl,prop_interp_xpr,prop_interp_ypr,prop_interp_any,prop_na_psl,prop_na_psr,prop_na_xpl,prop_na_ypl,prop_na_xpr,prop_na_ypr,prop_na_any
03_2025_03_03_16_43,144980,0.02626569181956132,0.019492343771554697,0.02626569181956132,0.02626569181956132,0.019492343771554697,0.019492343771554697,0.026479514415781488,0.02626569181956132,0.019492343771554697,0.02626569181956132,0.02626569181956132,0.019492343771554697,0.019492343771554697,0.026479514415781488
02_2025_02_26_17_35,145261,0.19736887395791025,0.1881096784408754,0.19736887395791025,0.19736887395791025,0.1881096784408754,0.1881096784408754,0.2176289575316155,0.19736887395791025,0.1881096784408754,0.19736887395791025,0.19736887395791025,0.1881096784408754,0.1881096784408754,0.2176289575316155
04_2025_03_05_11_07,145237,0.07111824121952395,0.09207708779443255,0.07111824121952395,0.07111824121952395,0.09207708779443255,0.09207708779443255,0.09755089956416065,0.07111824121952395,0.09207708779443255,0.07111824121952395,0.07111824121952395,0.09207708779443255,0.09207708779443255,0.09755089956416065
051_001_2025_08_21_17_40,145147,0.09119031051279049,0.095007130701978,0.09119031051279049,0.09119031051279049,0.095007130701978,0.095007130701978,0.09631614845639248,0.09119031051279049,0.095007130701978,0.09119031051279049,0.09119031051279049,0.095007130701978,0.095007130701978,0.09631614845639248
054_002_2025_08_22_17_05,145297,0.2198668933288368,0.23326703235441887,0.2198668933288368,0.2198668933288368,0.23326703235441887,0.23326703235441887,0.25275814366435645,0.2198668933288368,0.23326703235441887,0.2198668933288368,0.2198668933288368,0.23326703235441887,0.23326703235441887,0.25275814366435645
03_2025_03_03_16_52,385309,0.04242828483113553,0.03548061426024308,0.04242828483113553,0.04242828483113553,0.03548061426024308,0.03548061426024308,0.05989478574339037,0.04242828483113553,0.03548061426024308,0.04242828483113553,0.04242828483113553,0.03548061426024308,0.03548061426024308,0.05989478574339037
048_002_2025_07_02_13_40,144783,0.021072916019145894,0.014856716603468639,0.021072916019145894,0.021072916019145894,0.014856716603468639,0.014856716603468639,0.02343507179710325,0.021072916019145894,0.014856716603468639,0.021072916019145894,0.021072916019145894,0.014856716603468639,0.014856716603468639,0.02343507179710325
05_2025_03_05_17_30,145261,0.213794480280323,0.1936170066294463,0.213794480280323,0.213794480280323,0.1936170066294463,0.1936170066294463,0.21473072607238006,0.213794480280323,0.1936170066294463,0.213794480280323,0.213794480280323,0.1936170066294463,0.1936170066294463,0.21473072607238006
01_2025_02_14_15_18,18235,0.056375102824239104,0.06405264601041952,0.056375102824239104,0.056375102824239104,0.06405264601041952,0.06405264601041952,0.06405264601041952,0.056375102824239104,0.06405264601041952,0.056375102824239104,0.056375102824239104,0.06405264601041952,0.06405264601041952,0.06405264601041952
01b_2025_02_14_15_46,145341,0.06173756888971453,0.059274396075436386,0.06173756888971453,0.06173756888971453,0.059274396075436386,0.059274396075436386,0.0629553945548744,0.06173756888971453,0.059274396075436386,0.06173756888971453,0.06173756888971453,0.059274396075436386,0.059274396075436386,0.0629553945548744
03_2025_03_03_16_24,508465,0.016368874947144837,0.016612746206720225,0.016368874947144837,0.016368874947144837,0.016612746206720225,0.016612746206720225,0.017525296726421682,0.016368874947144837,0.016612746206720225,0.016368874947144837,0.016368874947144837,0.016612746206720225,0.016612746206720225,0.017525296726421682
049_001_2025_07_17_15_55,145346,0.09302629587329544,0.089689430737688,0.09302629587329544,0.09302629587329544,0.089689430737688,0.089689430737688,0.09616363711419647,0.09302629587329544,0.089689430737688,0.09302629587329544,0.09302629587329544,0.089689430737688,0.089689430737688,0.09616363711419647
04_2025_03_05_11_39,313909,0.15255376558174502,0.039170587654383915,0.15255376558174502,0.15255376558174502,0.039170587654383915,0.039170587654383915,0.15414976951919188,0.15255376558174502,0.039170587654383915,0.15255376558174502,0.15255376558174502,0.039170587654383915,0.039170587654383915,0.15414976951919188
07_002_2025_03_12_11_37,145303,0.03163045498028258,0.027418566719200566,0.03163045498028258,0.03163045498028258,0.027418566719200566,0.027418566719200566,0.03326152935589768,0.03163045498028258,0.027418566719200566,0.03163045498028258,0.03163045498028258,0.027418566719200566,0.027418566719200566,0.03326152935589768
08_001_2025_03_12_17_29,145182,0.07822595087545288,0.0785772340923806,0.07822595087545288,0.07822595087545288,0.0785772340923806,0.0785772340923806,0.0875728396082159,0.07822595087545288,0.0785772340923806,0.07822595087545288,0.07822595087545288,0.0785772340923806,0.0785772340923806,0.0875728396082159
09_002_2025_03_13_19_11,145263,0.07854030276119865,0.03992757963142714,0.07854030276119865,0.07854030276119865,0.03992757963142714,0.03992757963142714,0.07954537631743802,0.07854030276119865,0.03992757963142714,0.07854030276119865,0.07854030276119865,0.03992757963142714,0.03992757963142714,0.07954537631743802
